id,name,place_of_birth,date_of_birth,ethnicity,nationality,specialization,gender,height,weight,astrological_sign
640,蕭敬騰,臺灣,1980-1989,其它,中國,娛樂,男,170-180,50-60,白羊
641,張鈞甯,其它,1980-1989,漢,未知,未知,女,160-170,40-50,處女
642,陳信宏,臺灣,1970-1979,漢,中國,娛樂/商業/文藝,男,170-180,70-80,射手
643,李金銘,山東,1980-1989,漢,未知,娛樂,女,160-170,40-50,天蠍
644,降央卓瑪,其它,1980-1989,藏,中國,娛樂,女,170-180,未知,水瓶
645,秦昊,其它,1970-1979,漢,中國,娛樂,男,180-190,60-70,金牛
646,霍去病,山西,1900前,漢,中國,其它,男,未知,未知,未知
647,陳曉旭,遼寧,1960-1969,漢,中國,娛樂/商業,女,未知,未知,天蠍
648,龔琳娜,貴州,1970-1979,漢,中國,娛樂/文藝,女,未知,未知,獅子
649,黃秋生,香港,1960-1969,未知,歐洲,娛樂/文藝,男,170-180,70-80,處女
650,豐子愷,浙江,1900前,漢,中國,文藝,男,未知,未知,天蠍
651,鮑春來,湖南,1980-1989,漢,中國,娛樂,男,180-190,70-80,水瓶
652,王詩齡,北京,1990至今,漢,中國,娛樂/其它,女,未知,未知,天秤
653,保劍鋒,上海,1970-1979,蒙古,中國,娛樂,男,170-180,60-70,天蠍
654,遊鴻明,其它,1960-1969,漢,中國/臺灣,娛樂/文藝,男,180-190,70-80,天蠍
655,安七炫,韓國,1970-1979,未知,韓國,娛樂/文藝,男,170-180,60-70,射手
656,蔡琴,臺灣,1900-1959,漢,中國,娛樂/文藝,女,160-170,40-50,摩羯
657,李依曉,遼寧,1980-1989,滿,中國,娛樂,女,160-170,40-50,水瓶
658,許家印,河南,1900-1959,漢,中國,商業/政治,男,未知,未知,未知
659,朴槿惠,韓國,1900-1959,朝鮮,韓國,政治,女,未知,未知,水瓶
660,張翰,黑龍江,1980-1989,漢,中國,娛樂/文藝,男,180-190,未知,天秤
661,桂綸鎂,臺灣,1980-1989,漢,中國,娛樂,女,160-170,40-50,摩羯
662,沙溢,吉林,1970-1979,漢,中國,娛樂,男,170-180,未知,水瓶
663,薩科齊,其它,1960-1969,未知,歐洲,未知,女,170-180,未知,未知
664,段奕宏,新疆,1970-1979,漢,中國,娛樂,男,170-180,60-70,金牛
665,範逸臣,臺灣,1970-1979,其它,中國/臺灣,娛樂,男,170-180,未知,天蠍
666,楊恭如,上海,1970-1979,漢,中國,娛樂,女,160-170,40-50,摩羯
667,澤尻繪裡香,未知,1980-1989,其它,日本,娛樂,女,160-170,未知,白羊
668,陳曉,安徽,1980-1989,漢,中國,娛樂,男,170-180,60-70,巨蟹
669,林丹,福建,1980-1989,漢,中國,體育,男,170-180,70-80,未知
670,王菲,北京/香港,1960-1969,漢,中國,娛樂/其它,女,170-180,40-50,獅子
671,王治郅,北京,1970-1979,漢,中國,娛樂/體育,男,geq190,geq90,巨蟹
672,熊乃瑾,重慶,1980-1989,漢,中國,娛樂,女,160-170,40-50,天秤
673,溫嵐,臺灣,1970-1979,高山,中國,娛樂,女,s160,40-50,巨蟹
674,蕭薔,臺灣,1960-1969,未知,中國/臺灣,娛樂/文藝,女,160-170,未知,獅子
675,溫家寶,天津,1900-1959,漢,中國,政治,男,未知,未知,未知
676,婁藝瀟,遼寧,1980-1989,漢,中國,娛樂,女,160-170,40-50,摩羯
677,衛青,山西,未知,漢,中國,其它,男,未知,未知,未知
678,彭丹,湖南,1970-1979,漢,中國,娛樂/文藝,女,160-170,未知,天蠍
679,陳佩斯,吉林,1900-1959,漢,中國,娛樂/文藝,男,170-180,未知,水瓶
680,季建業,未知,1900-1959,漢,中國,政治,男,未知,未知,水瓶
681,倪萍,山東,1900-1959,漢,中國,未知,女,170-180,未知,水瓶
682,張辛苑,湖北,1980-1989,漢,中國,娛樂,女,160-170,未知,射手
683,李雙江,其它,1900-1959,漢,中國,文藝/其它,男,未知,未知,未知
684,劉在石,韓國,1970-1979,朝鮮,未知,娛樂,男,170-180,60-70,獅子
685,趙傳,臺灣,1960-1969,壯,中國,娛樂/文藝,男,160-170,60-70,雙子
686,陳丹青,上海,1900-1959,漢,中國,文藝,男,未知,未知,未知
687,鄭國鳳,浙江,1960-1969,漢,中國,未知,女,未知,未知,未知
688,嶽雲鵬,河南,1980-1989,漢,未知,娛樂/文藝,男,170-180,未知,白羊
689,黃耀明,香港,1960-1969,漢,中國/香港,娛樂/文藝,男,170-180,60-70,雙子
690,黃燦燦,湖北,未知,漢,中國,未知,女,160-170,未知,雙魚
691,俞思遠,上海,1980-1989,漢,中國,娛樂,男,180-190,70-80,巨蟹
692,惠英紅,香港,1960-1969,滿,未知,娛樂,女,160-170,未知,水瓶
693,黃海波,天津,1970-1979,滿,中國,娛樂,男,170-180,60-70,射手
694,周克華,重慶,1970-1979,漢,中國,未知,男,未知,未知,未知
695,堀北真希,日本,1980-1989,未知,未知,娛樂,女,s160,未知,天秤
696,陳若儀,臺灣,1980-1989,漢,中國,娛樂,女,170-180,50-60,摩羯
697,鄭淵潔,河北,1900-1959,漢,中國,娛樂/文藝/其它,男,未知,未知,雙子
698,蘇志燮,韓國,1970-1979,朝鮮,未知,娛樂,男,180-190,60-70,天蠍
699,高露,北京,1980-1989,漢,中國,娛樂,女,160-170,40-50,天秤
700,李茂,安徽,1980-1989,漢,中國,娛樂,男,180-190,60-70,巨蟹
701,王志萍,未知,1960-1969,未知,中國,娛樂/文藝,女,未知,未知,未知
702,蒙嘉慧,香港,1970-1979,漢,中國,娛樂/文藝,女,160-170,40-50,獅子
703,雷軍,未知,1960-1969,漢,中國,科學/商業/文藝,男,未知,未知,未知
704,任正非,貴州,1900-1959,漢,中國,商業,男,170-180,未知,未知
705,李艾,廣東,1970-1979,漢,中國,娛樂,女,170-180,50-60,摩羯
706,郭羨妮,香港,1970-1979,漢,歐洲,娛樂,女,160-170,40-50,巨蟹
707,王家衛,上海/香港,1900-1959,漢,中國,娛樂/文藝,男,180-190,未知,巨蟹
708,楊蓉,雲南,1980-1989,白,中國,娛樂,女,160-170,40-50,雙子
709,何姿,廣西,未知,未知,中國,未知,女,s160,50-60,未知
710,許慧欣,未知,未知,未知,美加,娛樂,女,160-170,40-50,未知
711,葉倩文,臺灣,1960-1969,漢,中國/香港/美加,娛樂,女,160-170,未知,天秤
712,韓藝瑟,韓國/美國,1980-1989,未知,韓國,娛樂,女,160-170,40-50,處女
713,郭可盈,香港,1970-1979,漢,中國,娛樂,女,160-170,40-50,射手
714,姚笛,浙江,1980-1989,漢,中國,娛樂,女,160-170,40-50,雙魚
715,蘇晴,廣西,1980-1989,漢,中國,娛樂,女,170-180,未知,雙魚
716,張東健,未知,1970-1979,未知,韓國,娛樂,男,180-190,未知,雙魚
717,李貞賢,韓國,1980-1989,未知,韓國,娛樂,女,s160,40-50,雙魚
718,洪秀全,廣東,1900前,漢,中國,政治,男,未知,未知,未知
719,修傑楷,臺灣,1980-1989,漢,中國,娛樂,男,170-180,60-70,雙魚
720,關穎,臺灣/日本,1970-1979,漢,中國,娛樂,女,160-170,40-50,巨蟹
721,張艾嘉,臺灣,1900-1959,未知,中國,娛樂/文藝,女,未知,未知,巨蟹
722,梅蘭芳,北京,1900前,漢,中國,娛樂/文藝,男,未知,未知,天秤
723,焦劉洋,黑龍江,1990至今,漢,中國,體育,女,170-180,50-60,未知
724,李霄雲,其它,1980-1989,漢,其它,娛樂,女,160-170,未知,雙魚
725,顧城,北京,1900-1959,漢,中國,文藝,男,未知,未知,未知
726,許紹洋,香港/美國,1970-1979,未知,美加,娛樂,男,170-180,60-70,天秤
727,王羲之,山東,1900前,漢,中國,文藝,男,未知,未知,未知
728,謝晉,其它,1900-1959,漢,中國,娛樂/文藝,男,未知,未知,天蠍
729,邱澤,臺灣,1980-1989,漢,中國,娛樂,男,170-180,60-70,天秤
730,金巧巧,遼寧,1970-1979,滿,中國,娛樂,女,160-170,40-50,金牛
731,王皓,吉林,1980-1989,漢,中國,娛樂/體育,男,170-180,未知,射手
732,海鳴威,其它,1980-1989,漢,中國,娛樂,男,170-180,70-80,巨蟹
733,陳赫,福建,1980-1989,漢,中國,娛樂,男,180-190,70-80,天蠍
734,謝安琪,香港,1970-1979,漢,中國/香港,娛樂,女,s160,未知,雙魚
735,藍可兒,未知,1990至今,未知,美加,其它,女,未知,未知,未知
736,張譯,黑龍江,1970-1979,漢,中國,娛樂/文藝,男,170-180,50-60,水瓶
737,佐佐木希,日本,1980-1989,其它,日本,娛樂/文藝,女,160-170,未知,水瓶
738,洪瑛,未知,1960-1969,未知,中國,娛樂,女,未知,未知,未知
739,魏晨,甘肅,1980-1989,漢,中國,娛樂,男,180-190,未知,雙魚
740,衛蘭,香港,1980-1989,其它,中國,娛樂,女,160-170,40-50,白羊
741,郭書瑤,臺灣,1990至今,漢,中國,娛樂,女,s160,未知,巨蟹
742,杜德偉,香港,1960-1969,漢,中國/香港/美加,娛樂/文藝,男,170-180,60-70,水瓶
743,巫啟賢,其它,1960-1969,未知,新馬,娛樂/文藝,男,170-180,未知,水瓶
744,潘長江,黑龍江,1900-1959,未知,中國,娛樂/文藝,男,s160,未知,巨蟹
745,李大釗,河北,1900前,漢,中國,政治/其它,男,未知,未知,未知
746,高淩風,臺灣,1900-1959,漢,中國,娛樂,男,160-170,未知,雙魚
747,胡適,安徽,1900前,漢,中國,文藝,男,未知,未知,未知
748,王若琳,臺灣,1980-1989,漢,中國/臺灣,娛樂/文藝,女,160-170,50-60,獅子
749,劉鐵男,北京,1900-1959,漢,中國,政治,男,未知,未知,未知
750,薄瓜瓜,北京,1980-1989,漢,中國,政治/其它,男,未知,未知,射手
751,邰正宵,香港,1960-1969,漢,中國,娛樂,男,未知,未知,射手
752,於正,浙江,1970-1979,漢,中國,娛樂/文藝,男,170-180,70-80,雙魚
753,丁寧,黑龍江,1990至今,漢,中國,體育,女,170-180,50-60,未知
754,安又琪,黑龍江,1980-1989,漢,中國,娛樂,女,160-170,40-50,天秤
755,陳天橋,其它,1970-1979,漢,中國,商業,男,未知,未知,未知
756,王志飛,北京,1960-1969,回,未知,娛樂,男,180-190,60-70,雙魚
757,崔智友,韓國,1970-1979,朝鮮,韓國,娛樂,女,170-180,40-50,雙子
758,唐奕,上海,未知,未知,中國,未知,女,170-180,未知,未知
759,竇靖童,北京,1990至今,漢,中國,娛樂/其它,女,未知,未知,摩羯
760,錢鐘書,江蘇,1900-1959,漢,中國,文藝/其它,男,未知,未知,天蠍
761,陳魯豫,上海,1970-1979,回,中國,娛樂/文藝,女,160-170,未知,雙子
762,陳羽凡,北京,1970-1979,漢,中國,娛樂/商業/文藝,男,170-180,50-60,天蠍
763,白冰,陝西,1980-1989,漢,中國,娛樂,女,160-170,40-50,雙子
764,王濛,未知,1980-1989,漢,中國,體育,女,160-170,未知,未知
765,毛新宇,未知,未知,漢,中國,未知,男,未知,未知,未知
766,徐佳瑩,臺灣,1980-1989,漢,中國,娛樂/文藝,女,s160,40-50,射手
767,孫耀威,香港,1970-1979,漢,中國,娛樂,男,170-180,60-70,摩羯
768,羅晉,江西,1980-1989,漢,中國,娛樂,男,180-190,60-70,射手
769,玄奘,河南,1900前,漢,中國,未知,男,未知,未知,未知
770,藤原紀香,日本,1970-1979,未知,日本,娛樂,女,170-180,40-50,巨蟹
771,林嘉欣,其它,1970-1979,未知,美加,娛樂,女,160-170,40-50,獅子
772,王全安,陝西,1960-1969,漢,中國,娛樂/文藝,男,未知,未知,天蠍
773,楊玉環,未知,1900前,漢,中國/美加,未知,女,未知,未知,未知
774,張儷,廣西,1980-1989,漢,中國,娛樂,女,160-170,40-50,雙子
775,鐘鎮濤,香港,1900-1959,漢,中國,娛樂/文藝,男,180-190,未知,雙魚
776,於娜,貴州,1980-1989,漢,中國,娛樂,女,170-180,50-60,雙子
777,王勵勤,上海,1970-1979,漢,中國,未知,男,180-190,70-80,雙子
778,子辰,香港,1980-1989,漢,中國/香港,商業,男,170-180,70-80,白羊
779,長澤雅美,日本,1980-1989,未知,日本,娛樂,女,160-170,未知,雙子
780,龐龍,遼寧,1970-1979,漢,中國,娛樂/文藝/其它,男,170-180,60-70,金牛
781,王岐山,山西,1900-1959,漢,中國,政治,男,未知,未知,未知
782,王櫟鑫,湖南,1980-1989,漢,中國,娛樂,男,170-180,未知,摩羯
783,易中天,湖南,1900-1959,漢,中國,文藝/其它,男,未知,未知,水瓶
784,金靜,未知,1960-1969,漢,中國,其它,女,未知,未知,未知
785,安在旭,韓國,1970-1979,未知,韓國,娛樂,男,170-180,未知,天蠍
786,方中信,澳門/香港,1960-1969,漢,中國/澳門,娛樂/文藝,男,180-190,未知,雙魚
787,蔡英文,其它,1900-1959,漢,中國/臺灣,未知,女,未知,未知,未知
788,馬龍,遼寧,1980-1989,未知,中國,體育,男,170-180,60-70,天秤
789,謝天華,香港,1960-1969,漢,中國/香港,娛樂/文藝,男,170-180,未知,巨蟹
790,葉梓萱,上海,1990至今,漢,中國,娛樂,女,160-170,40-50,天蠍
791,宋小寶,吉林,1980-1989,漢,中國,娛樂,男,160-170,未知,摩羯
792,金範,韓國,1980-1989,未知,韓國,娛樂,男,180-190,60-70,巨蟹
793,馬季,北京,1900-1959,漢,中國,娛樂/文藝,男,160-170,70-80,獅子
794,櫻井莉亞,日本,1980-1989,其它,日本,娛樂,女,s160,40-50,未知
795,汪蘇瀧,遼寧,1980-1989,滿,未知,娛樂/文藝,男,170-180,60-70,處女
796,金素妍,韓國,1980-1989,未知,韓國,娛樂,女,160-170,40-50,天蠍
797,劉穎,湖南,1980-1989,漢,中國,娛樂/文藝,女,160-170,40-50,射手
798,王豔,山東,1970-1979,未知,中國,娛樂,女,160-170,40-50,水瓶
799,張萌,天津,1980-1989,漢,中國,娛樂/其它,女,170-180,40-50,雙魚
800,哈文,寧夏,1960-1969,回,中國,娛樂/文藝,女,未知,未知,白羊
801,霍建華,臺灣,1970-1979,漢,中國,娛樂,男,170-180,60-70,摩羯
802,楊利偉,未知,1960-1969,漢,中國,其它,男,160-170,未知,雙子
803,徐海星,四川,1980-1989,漢,中國,娛樂,女,s160,40-50,金牛
804,周麗淇,香港,1970-1979,漢,中國,娛樂,女,170-180,50-60,處女
805,曾國藩,湖南,1900前,漢,中國,文藝/政治,男,未知,未知,未知
806,郭台銘,其它,1900-1959,漢,中國/臺灣,商業,男,未知,未知,天秤
807,葉海燕,湖北,1970-1979,漢,中國,文藝,女,未知,未知,天秤
808,劉少奇,湖南,1900前,漢,中國,政治/其它,男,未知,未知,未知
809,蘇見信,臺灣,1970-1979,漢,中國,娛樂,男,geq190,70-80,金牛
810,沈殿霞,上海,1900-1959,漢,中國,娛樂,女,s160,未知,雙子
811,李龍大,韓國,未知,未知,韓國,體育,男,170-180,未知,未知
812,徐莉佳,上海,1980-1989,漢,未知,未知,女,170-180,60-70,未知
813,母其彌雅,雲南,1980-1989,漢,中國,娛樂/其它,女,170-180,40-50,未知
814,劉羽琦,江蘇,1980-1989,漢,中國,娛樂,女,160-170,未知,巨蟹
815,梁文博,黑龍江,1980-1989,漢,中國,體育,男,170-180,未知,未知
816,權相宇,韓國,1970-1979,未知,未知,娛樂,男,180-190,60-70,獅子
817,馮德倫,未知,1970-1979,未知,中國,娛樂,男,170-180,60-70,獅子
818,吳孟達,福建/香港,1900-1959,漢,中國,娛樂/文藝,男,170-180,geq90,摩羯
819,唐笑,湖南,1980-1989,漢,中國,娛樂,女,160-170,40-50,獅子
820,路遙,陝西,1900-1959,漢,中國,文藝,男,未知,未知,射手
821,張衡,河南,1900前,漢,中國,科學/文藝,男,未知,未知,未知
822,尹相傑,未知,未知,漢,中國,未知,男,未知,未知,未知
823,皓天,山東,未知,漢,中國,娛樂/文藝,男,170-180,60-70,獅子
824,劉力揚,北京,1980-1989,漢,中國,娛樂,女,170-180,50-60,天蠍
825,李光潔,河南,1980-1989,漢,中國,娛樂,男,180-190,60-70,金牛
826,汪明荃,上海/香港,1900-1959,漢,中國,娛樂,女,s160,40-50,處女
827,李商隱,未知,1900前,未知,中國,文藝,男,未知,未知,未知
828,溫兆倫,香港,1960-1969,漢,中國/香港,娛樂,男,170-180,未知,天蠍
829,賈樟柯,山西,1970-1979,未知,中國,娛樂/文藝,男,160-170,未知,雙子
830,莊心妍,廣東,1990至今,漢,中國,娛樂,女,160-170,50-60,水瓶
831,許飛,其它,1980-1989,未知,中國,娛樂,女,160-170,s40,射手
832,黃義達,其它,1970-1979,未知,新馬,娛樂/文藝,男,170-180,40-50,獅子
833,華羅庚,未知,1900-1959,漢,中國,科學/其它,男,未知,未知,天蠍
834,孫權,江蘇,1900前,漢,未知,政治,男,未知,未知,未知
835,崔雪麗,韓國,1990至今,朝鮮,韓國,娛樂,女,160-170,40-50,白羊
836,朱梓驍,遼寧,1980-1989,漢,中國,娛樂,男,180-190,60-70,獅子
837,趙磊,山東,未知,漢,中國,未知,男,180-190,70-80,天秤
838,卓文萱,臺灣,1980-1989,漢,中國,娛樂,女,s160,40-50,水瓶
839,林子祥,香港,1900-1959,漢,中國/香港,娛樂/文藝,男,170-180,未知,天秤
840,郭品超,臺灣,1970-1979,漢,中國,娛樂,男,180-190,70-80,雙子
841,馬浚偉,香港,1970-1979,漢,中國/香港,娛樂,男,170-180,60-70,天蠍
842,張婷婷,其它,未知,漢,中國,未知,女,未知,未知,未知
843,原幹惠,日本,1980-1989,未知,日本,娛樂/文藝,女,160-170,未知,巨蟹
844,黃家強,香港,1960-1969,漢,中國/香港,娛樂/文藝,男,160-170,未知,天蠍
845,林保怡,香港,1960-1969,漢,中國,娛樂,男,未知,未知,處女
846,濮存昕,北京,1900-1959,漢,中國,娛樂/文藝,男,170-180,未知,獅子
847,饒雪漫,四川,1970-1979,漢,中國,文藝,女,未知,未知,射手
848,沈從文,湖南,1900-1959,苗,中國,文藝/其它,男,未知,未知,未知
849,趙文卓,黑龍江,1970-1979,漢,中國,娛樂/體育,男,170-180,70-80,白羊
850,杉原杏璃,日本,1980-1989,其它,日本,娛樂/文藝,女,s160,未知,雙子
851,趙芸蕾,湖北,未知,漢,中國,體育,女,170-180,50-60,未知
852,牛莉,河北,1970-1979,漢,中國,娛樂/文藝,女,160-170,40-50,金牛
853,范仲淹,河北,1900前,漢,中國,文藝/政治/其它,男,未知,未知,未知
854,曹雲金,天津,1980-1989,回,未知,娛樂/文藝,男,170-180,未知,水瓶
855,張帥,天津,未知,漢,中國,體育,女,未知,60-70,未知
856,朱雨辰,上海,1970-1979,漢,中國,娛樂,男,170-180,60-70,雙魚
857,易思玲,湖南,未知,漢,中國,體育,女,160-170,50-60,未知
858,楊絳,北京,1900-1959,未知,中國,文藝/其它,女,未知,未知,巨蟹
859,許嵩,其它,1980-1989,漢,中國,娛樂/文藝,男,170-180,50-60,金牛
860,關心妍,香港,1970-1979,未知,美加,娛樂,女,160-170,40-50,獅子
861,林永健,山東,1970-1979,漢,中國,娛樂,男,170-180,未知,水瓶
862,胡定欣,香港,1980-1989,漢,中國/香港,娛樂,女,160-170,40-50,處女
863,李沁,江蘇,1990至今,漢,中國,娛樂/商業,女,160-170,40-50,天秤
864,玉皇大帝,未知,未知,未知,中國,其它,男,未知,未知,未知
865,張亮,北京,1980-1989,漢,中國,娛樂,男,180-190,70-80,天蠍
866,吳昌碩,浙江,1900前,漢,中國,文藝,男,未知,未知,獅子
867,蘇妲己,河南,未知,其它,未知,政治,女,未知,未知,未知
868,林語堂,福建,1900前,漢,中國,文藝/其它,男,未知,未知,天秤
869,宋智孝,韓國,1980-1989,朝鮮,韓國,娛樂,女,160-170,40-50,獅子
870,林黛玉,其它,未知,未知,中國,其它,女,未知,未知,未知
871,田卿,湖南,1980-1989,漢,中國,體育,女,160-170,60-70,未知
872,紀敏佳,四川,1980-1989,漢,中國,娛樂,女,160-170,未知,巨蟹
873,于右任,陝西,1900前,漢,中國,文藝/政治,男,未知,未知,未知
874,司馬光,河南,1900前,漢,中國,文藝/政治,男,未知,未知,未知
875,葉童,香港,1960-1969,漢,中國,娛樂,女,170-180,未知,雙魚
876,阮玲玉,上海,1900-1959,未知,中國,娛樂,女,未知,未知,金牛
877,張近東,安徽,1960-1969,漢,未知,商業,男,未知,未知,未知
878,李煒,福建,1980-1989,漢,中國,娛樂,男,170-180,60-70,射手
879,孫悅,黑龍江,1970-1979,漢,中國,娛樂,女,160-170,50-60,巨蟹
880,李英愛,韓國,1970-1979,未知,韓國,娛樂,女,160-170,40-50,水瓶
881,張靈甫,陝西,1900-1959,漢,中國,政治,男,180-190,未知,未知
882,辰亦儒,臺灣,1980-1989,未知,中國,娛樂,男,180-190,60-70,天蠍
883,辛棄疾,山東,1900前,漢,中國,文藝,男,未知,未知,未知
884,萬茜,湖南,1980-1989,漢,中國,娛樂/文藝,女,160-170,40-50,金牛
885,胡軍,北京,1960-1969,滿,中國,娛樂,男,180-190,未知,雙魚
886,韓雪,江蘇,1980-1989,漢,中國,娛樂,女,160-170,40-50,摩羯
887,李克強,安徽,1900-1959,漢,中國,未知,男,未知,未知,未知
888,白靈,四川/美國,1960-1969,其它,美加,娛樂/文藝,女,160-170,40-50,天秤
889,左溢,上海,1990至今,漢,中國,未知,男,180-190,未知,水瓶
890,孟廣美,臺灣,1960-1969,漢,中國/臺灣,娛樂,女,170-180,未知,獅子
891,陳逸飛,未知,1900-1959,漢,中國,文藝,男,未知,未知,白羊
892,蔣方舟,湖北,1980-1989,漢,中國,娛樂/文藝,女,未知,未知,天蠍
893,蔡元培,浙江,1900前,未知,中國,政治/其它,男,未知,未知,未知
894,杜若溪,遼寧,1980-1989,回,中國,娛樂,女,160-170,未知,水瓶
895,阿穆隆,內蒙古,1980-1989,未知,中國,娛樂,男,170-180,未知,處女
896,黃齡,上海,1980-1989,漢,中國,娛樂,女,160-170,40-50,水瓶
897,李鑫,四川,1990至今,漢,中國,其它,男,未知,未知,未知
898,趙飛燕,江蘇,未知,漢,中國,文藝,女,s160,未知,未知
899,馬諾,北京,1980-1989,漢,中國,娛樂,女,160-170,40-50,水瓶
900,陶晶瑩,臺灣,1960-1969,漢,中國,娛樂/文藝,女,160-170,40-50,天蠍
901,陸雪琪,未知,未知,未知,未知,其它,女,未知,未知,未知
902,列寧,其它,1900前,俄羅斯,未知,政治/其它,男,未知,未知,金牛
903,江若琳,福建/香港,1980-1989,未知,中國,娛樂/文藝,女,160-170,40-50,天秤
904,韋唯,內蒙古,1960-1969,壯,中國,娛樂,女,160-170,50-60,天秤
905,曾沛慈,臺灣,1980-1989,漢,中國,娛樂,女,170-180,40-50,天秤
906,於和偉,遼寧,1970-1979,回,中國,娛樂,男,170-180,60-70,金牛
907,蔡贇,江蘇,1980-1989,未知,中國,體育,男,180-190,60-70,未知
908,林彪,湖北,1900-1959,漢,中國,未知,男,未知,未知,未知
909,薑昆,山東,1900-1959,漢,中國,娛樂/文藝,男,170-180,未知,天蠍
910,王菀之,香港,1970-1979,漢,美加,娛樂,女,s160,未知,雙子
911,王適嫻,江蘇,1990至今,漢,中國,體育,女,160-170,50-60,水瓶
912,王學圻,北京,1900-1959,漢,中國,娛樂/文藝,男,未知,未知,雙魚
913,包貝爾,黑龍江,1980-1989,漢,中國,娛樂/文藝,男,170-180,50-60,金牛
914,陳毅,四川,1900-1959,漢,中國,政治/其它,男,未知,未知,處女
915,何多苓,未知,1900-1959,未知,中國,文藝,男,未知,未知,未知
916,潘越雲,臺灣,1900-1959,漢,中國,娛樂,女,160-170,未知,天蠍
917,江美琪,臺灣,1980-1989,未知,中國/臺灣,娛樂,女,s160,未知,獅子
918,徐志摩,浙江,1900前,漢,中國,文藝,男,未知,未知,摩羯
919,丁磊,浙江,1970-1979,漢,中國,商業,男,未知,未知,天秤
920,童瑤,雲南,1980-1989,漢,中國,娛樂,女,160-170,40-50,獅子
921,金起範,韓國/美國,1980-1989,未知,未知,娛樂,男,170-180,50-60,獅子
922,翁虹,香港,1960-1969,漢,中國/香港,娛樂,女,160-170,40-50,處女
923,樸泰桓,韓國,1980-1989,朝鮮,韓國,體育,男,180-190,70-80,天秤
924,厲娜,浙江,1980-1989,漢,中國,娛樂,女,160-170,40-50,雙魚
925,辛曉琪,臺灣,1960-1969,漢,中國,娛樂,女,s160,40-50,水瓶
926,李承鵬,新疆,1960-1969,未知,中國,體育/其它,男,160-170,未知,未知
927,余華,浙江,1960-1969,漢,中國,娛樂/文藝,男,未知,未知,白羊
928,鳳飛飛,臺灣,1900-1959,未知,中國/臺灣,娛樂,女,160-170,40-50,獅子
929,艾青,浙江,1900-1959,漢,中國,文藝,男,未知,未知,金牛
930,蔣大為,天津,1900-1959,漢,美加,文藝,男,170-180,70-80,水瓶
931,金在中,韓國,1980-1989,未知,韓國,娛樂/文藝,男,170-180,60-70,水瓶
932,潘陽,黑龍江,1980-1989,漢,中國,娛樂,女,160-170,未知,雙子
933,孫藝珍,韓國,1980-1989,朝鮮,韓國,娛樂,女,160-170,40-50,摩羯
934,李晟,湖南,1980-1989,漢,中國,娛樂,女,160-170,40-50,處女
935,賀龍,湖南,1900前,漢,中國,政治/其它,男,未知,未知,未知
936,秦凱,陝西,1980-1989,漢,中國,體育,男,160-170,60-70,未知
937,薑育恒,韓國,1900-1959,漢,韓國,娛樂,男,170-180,未知,天蠍
938,王陽,未知,1960-1969,漢,中國,娛樂,男,170-180,60-70,射手
939,安琥,遼寧,1970-1979,漢,中國,娛樂,男,170-180,未知,處女
940,金泰妍,韓國,1980-1989,朝鮮,未知,娛樂,女,s160,40-50,雙魚
941,蕾哈娜,其它,1980-1989,未知,其它,娛樂,女,170-180,未知,水瓶
942,朱德,四川,1900前,漢,中國,娛樂/政治/其它,男,未知,未知,射手
943,甯財神,上海,1970-1979,漢,中國,文藝,男,160-170,50-60,未知
944,孫立人,安徽,1900-1959,漢,中國,政治,男,180-190,未知,未知
945,回音哥,四川,1980-1989,漢,中國,娛樂,男,160-170,50-60,天蠍
946,阿木,四川,1970-1979,彝,中國,娛樂,男,170-180,未知,金牛
947,黃賓虹,浙江,1900前,漢,中國,未知,男,未知,未知,水瓶
948,歡子,廣東,1980-1989,漢,中國,娛樂/商業/文藝,男,170-180,60-70,天秤
949,鄭希怡,上海/香港,1980-1989,未知,中國/香港,娛樂,女,170-180,50-60,處女
950,朱鎔基,湖南,1900-1959,漢,中國,未知,男,未知,未知,天秤
951,謝婷婷,香港,1980-1989,漢,美加,娛樂,女,160-170,50-60,處女
952,楊達才,陝西,1900-1959,漢,中國,政治,男,未知,未知,未知
953,陸小曼,上海,1900-1959,漢,中國,文藝/其它,女,未知,未知,未知
954,苗僑偉,浙江/香港,1900-1959,漢,中國,娛樂,男,170-180,70-80,雙子
955,白智英,韓國,1970-1979,未知,韓國,娛樂,女,160-170,40-50,白羊
956,黃子華,香港,1960-1969,漢,中國,娛樂/文藝,男,170-180,50-60,處女
957,伏羲,甘肅,未知,其它,中國,其它,男,未知,未知,未知
958,王立軍,未知,1900-1959,蒙古,中國,政治,男,未知,未知,未知
959,黃志忠,天津,1960-1969,漢,中國,娛樂,男,170-180,60-70,雙魚
960,中島美嘉,日本,1980-1989,未知,日本,娛樂,女,s160,s40,雙魚
961,關淩,北京,1980-1989,滿,中國,娛樂,女,s160,未知,白羊
962,李慧珍,浙江,1970-1979,漢,中國,娛樂,女,s160,40-50,雙魚
963,安室奈美惠,日本,1970-1979,其它,日本,娛樂/文藝,女,s160,s40,處女
964,曹方,雲南,1980-1989,未知,中國,娛樂,女,160-170,未知,金牛
965,陳茵媺,其它,1980-1989,未知,未知,娛樂,女,160-170,40-50,白羊
966,羽佳,未知,未知,未知,未知,未知,男,170-180,未知,金牛
967,李源潮,江蘇,1900-1959,漢,中國,政治,男,未知,未知,未知
968,王國維,浙江,1900前,漢,中國,其它,男,未知,未知,未知
